10.9	22.35	3
12.45	22.3	3
13.95	22.05	3
14.65	20.3	3
13.15	20.8	3
11.6	20.95	3
10.25	21.25	3
9.2	20.8	3
8.05	21.55	3
7.15	19.9	3
8.55	20	3
8.5	19.2	3
7.35	18.3	3
8.25	16.65	3
8.95	18	3
9.6	18.85	3
9.65	19.75	3
10.2	20.25	3
10.9	20.3	3
12.15	20	3
11.25	19.75	3
10.8	19.6	3
10.4	19.55	3
10.65	19.35	3
10.3	19.15	3
10.95	19.1	3
10.6	18.85	3
10.05	18.1	3
10.35	16.9	3
10.05	15.9	3
11.15	18.1	3
12.1	18.75	3
13.2	19.2	3
11.5	17.1	3
12.65	17.65	3
14.45	18.35	4
13.9	16.7	3
12.6	15.8	3
15.95	20.75	4
16.95	21.6	4
17.9	21.95	4
19	22.7	4
20.45	22.75	4
19.1	21.7	4
20.4	21.4	4
21.95	21.9	4
18.65	20.7	4
17.75	20.55	4
17.05	19.85	4
15.75	19.45	4
15.75	18.25	4
16.35	16.9	4
17.2	15.9	4
17.9	17	4
17.3	17.75	4
17	18.9	4
17.8	18.65	4
17.85	19.5	4
18.5	19.9	4
19.1	19.95	4
19.55	20.55	4
20.1	19.9	4
19.55	19.3	4
18.95	19.3	4
18.55	19.2	4
18.45	18.85	4
18.85	18.9	4
19.2	18.8	4
18.75	18.55	4
18.3	18.1	4
19.1	17.8	4
19	16.75	4
18.75	15.5	4
19.65	18.2	4
20.1	18.95	4
21.25	20.4	4
21.45	19	4
20.9	17.9	4
20.25	17.2	4
20.1	15.4	4
21.4	15.95	4
22.2	17.15	4
